School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
CENTURY JR/SR HIGH SCHOOL,Illinois,ILLINOIS,Century Jr/Sr High School,1704003,Pulaski County,17153,http://www.centuryschool100.com,4721 Shawnee College Rd,Ullin,62992,4721 Shawnee College Rd,6188453518,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.270454,-89.098393,IL-30-077-1000-26-300771000260001,High,1-Yes,1-Yes,1-Yes,1-Yes,146,83,24,21,14,24,76,70,15.64,9.34
CERES HIGH,California,CALIFORNIA,Ceres High,0600785,Stanislaus County,06099,†,2320 Central Ave.,Ceres,95307,PO Box 307,2095561920,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.595246,-120.956241,CA-5071043-5030879,High,1-Yes,1-Yes,1-Yes,1-Yes,1660,1660,434,411,400,415,857,803,73.60,22.55
CERES SPECIAL EDUCATION,CALIFORNIA,CALIFORNIA,Ceres Special Education,0614023,Stanislaus County,06099,†,2503 Lawrence St.,Ceres,95307,2503 Lawrence St.,2095561500,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,37.590620,-120.949450,CA-5071043-0133827,Other,1-Yes,1-Yes,1-Yes,1-Yes,37,37,0,0,0,37,27,10,2.00,18.50
CERRITOS HIGH,California,CALIFORNIA,Cerritos High,0600010,Los Angeles County,06037,http://www.cerritoshs.us,12500 East 183rd St.,Cerritos,90703,12500 East 183rd St.,5622297715,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.865000,-118.065100,CA-1964212-1930056,High,1-Yes,1-Yes,1-Yes,1-Yes,1996,1996,480,446,529,541,1011,984,83.44,23.92
CERRO GORDO JR AND SR HIGH SCH,Illinois,ILLINOIS,Cerro Gordo Jr and Sr High Sch,1700540,Piatt County,17147,http://www.cgbroncos.org,300 E Durfee St,Cerro Gordo,61818,300 E Durfee St,2177632711,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.888724,-88.727843,IL-39-074-1000-26-390741000260001,High,1-Yes,1-Yes,1-Yes,1-Yes,228,131,37,32,28,34,108,120,20.28,11.24
CESAR CHAVEZ ACADEMY,Texas,TEXAS,CESAR CHAVEZ ACADEMY,4803897,El Paso County,48141,http://cesarchavez.yisd.net,7814 ALAMEDA AVE,EL PASO,79915,7814 ALAMEDA AVE,9154349600,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,31.728980,-106.364541,TX-071905-071905014,High,1-Yes,1-Yes,1-Yes,1-Yes,82,49,17,16,15,1,57,25,25.58,3.21
CESAR CHAVEZ ACADEMY HIGH SCHOOL,Michigan,MICHIGAN,Cesar Chavez Academy High School,2601488,Wayne County,26163,http://www.chavezwaterman.com,1761 WATERMAN ST,DETROIT,48209,4100 MARTIN ST,3135510611,1-Regular school,7-Independent Charter District,42.312100,-83.114300,MI-82918-09153,High,1-Yes,1-Yes,1-Yes,1-Yes,730,730,204,187,176,163,371,359,36.91,19.78
CESAR CHAVEZ ACADEMY JJAEP,Texas,TEXAS,CESAR CHAVEZ ACADEMY JJAEP,4807594,El Paso County,48141,http://cesarchavez.yisd.net,7814 ALAMEDA AVE,EL PASO,79915,7814 ALAMEDA AVE,9154349600,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,31.728980,-106.364541,TX-071905-071905016,High,1-Yes,1-Yes,1-Yes,1-Yes,2,2,1,0,0,1,1,1,1.53,1.31
CESAR CHAVEZ COMMUNITY,California,CALIFORNIA,Cesar Chavez Community,0611976,Yolo County,06113,http://www.ycoe.org,255 West Beamer St.,Woodland,95695,1280 Santa Anita Ct. Ste. 100,5306683090,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,38.684444,-121.795632,CA-5710579-0113787,High,1-Yes,1-Yes,1-Yes,1-Yes,47,47,19,9,12,7,29,18,4.99,9.42
CESAR CHAVEZ COMMUNITY  SCHOOL,New Mexico,NEW MEXICO,CESAR CHAVEZ COMMUNITY  SCHOOL,3500891,Bernalillo County,35001,http://www.cesarchavezcharter.net,1325 PALOMAS DR SE,ALBUQUERQUE,87108,1325 PALOMAS DR SE,5058770558,1-Regular school,7-Independent Charter District,35.059669,-106.583882,NM-35512000-35512001,High,1-Yes,1-Yes,1-Yes,1-Yes,181,181,50,53,54,24,82,99,17.69,10.23
CESAR CHAVEZ CONTINUATION HIGH,California,CALIFORNIA,Cesar Chavez Continuation High,0602220,Los Angeles County,06037,http://www.compton.k12.ca.us,15301 San Jose Ave.,Compton,90221,15301 San Jose Ave.,3108986340,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,33.893435,-118.182722,CA-1973437-1995695,High,1-Yes,1-Yes,1-Yes,1-Yes,263,263,1,2,115,145,153,109,15.17,17.34
CESAR CHAVEZ HIGH,California,CALIFORNIA,Cesar Chavez High,0611422,San Joaquin County,06077,http://www.stocktonusd.net,2929 Windflower Ln.,Stockton,95212,2929 Windflower Ln.,2099337480,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.013256,-121.267704,CA-3968676-0108159,High,1-Yes,1-Yes,1-Yes,1-Yes,2021,2021,555,497,487,482,1055,960,94.79,21.32
CESAR CHAVEZ HIGH SCHOOL,Arizona,ARIZONA,Cesar Chavez High School,0401882,Maricopa County,04013,http://www.phoenixunion.org/chavez,3921 W BASELINE RD,LAVEEN,85339,3921 W BASELINE RD,6027644000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.375700,-112.146300,AZ-4286-78847,High,1-Yes,1-Yes,1-Yes,1-Yes,2598,2598,651,716,635,596,1338,1260,128.50,20.22
CESAR CHAVEZ PUBLIC CHARTER SCHOOLS FOR PUBLIC POLICY,District of Columbia,DISTRICT OF COLUMBIA,Cesar Chavez Public Charter Schools for Public Policy,1100456,District of Columbia,11001,http://www.chavezschools.org,3701 HAYES STREET NE,Washington,20019,3701 HAYES STREET NE,2023982230,1-Regular school,7-Independent Charter District,38.901338,-76.949057,DC-109-109,High,1-Yes,1-Yes,1-Yes,1-Yes,367,218,85,61,45,27,170,197,41.00,8.95
CESAR E. CHAVEZ HIGH,California,CALIFORNIA,Cesar E. Chavez High,0604767,Orange County,06059,†,2128 South Cypress,Santa Ana,92707,2128 South Cypress,7144305700,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,33.718744,-117.867123,CA-3066670-3030475,High,1-Yes,1-Yes,1-Yes,1-Yes,350,350,0,3,96,251,188,162,21.30,16.43
CESAR E. CHAVEZ HIGH,California,CALIFORNIA,Cesar E. Chavez High,0611206,Kern County,06029,http://www.cesarchavezhighschool.org,800 Browning Rd.,Delano,93215,800 Browning Rd.,6617204501,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.767925,-119.221160,CA-1563412-0100529,High,1-Yes,1-Yes,1-Yes,1-Yes,1318,1318,343,351,308,316,679,639,58.53,22.52
CESAR E. CHAVEZ LRNG ACADS-ACAD OF SCIENTIFIC EXPLR (ASE),California,CALIFORNIA,Cesar E. Chavez Lrng Acads-Acad of Scientific Explr (ASE),0612858,Los Angeles County,06037,http://chavezexplorehs.lausd.org,1001 Arroyo Ave.,San Fernando,91340,1001 Arroyo Ave.,8188383926,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.288623,-118.421016,CA-1964733-0124396,High,1-Yes,1-Yes,1-Yes,1-Yes,420,420,110,116,91,103,250,170,20.54,20.45
CESAR E. CHAVEZ LRNG ACADS-ARTS/THEATRE/ENTERTAIN MAG,California,CALIFORNIA,Cesar E. Chavez Lrng Acads-Arts/Theatre/Entertain Mag,0612926,Los Angeles County,06037,http://ccla.lausd.org,1001 Arroyo Ave.,San Fernando,91340,1001 Arroyo Ave.,8188376428,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.288623,-118.421016,CA-1964733-0124370,High,1-Yes,1-Yes,1-Yes,1-Yes,300,300,82,71,80,67,134,166,19.72,15.21
CESAR E. CHAVEZ LRNG ACADS-SOC JUST HUMANITAS ACAD,California,CALIFORNIA,Cesar E. Chavez Lrng Acads-Soc Just Humanitas Acad,0612895,Los Angeles County,06037,http://www.sjhumanitas.org,1001 Arroyo Ave.,San Fernando,91340,1001 Arroyo Ave.,8188383915,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.288623,-118.421016,CA-1964733-0124388,High,1-Yes,1-Yes,1-Yes,1-Yes,417,417,106,134,90,87,199,218,20.73,20.12
CESAR E. CHAVEZ LRNG ACADS-TECH PREP ACAD,California,CALIFORNIA,Cesar E. Chavez Lrng Acads-Tech Prep Acad,0612964,Los Angeles County,06037,http://chaveztpa.lausd.org,1001 Arroyo Ave.,San Fernando,91340,1001 Arroyo Ave.,8188383946,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.288623,-118.421016,CA-1964733-0124404,High,1-Yes,1-Yes,1-Yes,1-Yes,321,321,73,65,97,86,211,110,21.48,14.94
CF VIGOR HIGH SCHOOL,Alabama,ALABAMA,CF Vigor High School,0100964,Mobile County,01097,http://vigor.mcs.schoolinsites.com,913 N Wilson Ave,Prichard,36610,913 N Wilson Ave,2512213045,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,30.743200,-88.080700,AL-049-0750,High,1-Yes,1-Yes,1-Yes,1-Yes,620,620,161,169,149,141,320,300,37.00,16.76
CHADRON SENIOR HIGH SCHOOL,Nebraska,NEBRASKA,CHADRON SENIOR HIGH SCHOOL,3100138,Dawes County,31045,†,901 CEDAR,CHADRON,69337,901 CEDAR,3084320707,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.821994,-102.994168,NE-230002000-230002001,High,1-Yes,1-Yes,1-Yes,1-Yes,242,242,65,63,58,56,116,126,23.75,10.19
CHADWICK HIGH,Missouri,MISSOURI,CHADWICK HIGH,2900246,Christian County,29043,http://chadwick.k12.mo.us,7090 STATE HWY 125 S,CHADWICK,65629,PO BOX 274,4176343588,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,36.923430,-93.057787,MO-022088-1050022088,High,1-Yes,1-Yes,1-Yes,1-Yes,122,84,15,28,16,25,65,57,10.86,11.23
CHADWICK-MILLEDGEVILLE  JR HS,Illinois,ILLINOIS,Chadwick-Milledgeville  Jr HS,1705404,Carroll County,17015,http://www.dist399.net,100 E 8th St,Milledgeville,61051,100 E 8th St,8152257141,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.967332,-89.772135,IL-08-008-3990-26-080083990260002,High,1-Yes,1-Yes,1-Yes,1-Yes,183,95,30,19,26,20,84,99,19.05,9.61
CHAFFEE COUNTY HIGH SCHOOL,Colorado,COLORADO,Chaffee County High School,0806155,Chaffee County,08015,http://www.bvschools.org,613 EAST MAIN STREET,BUENA VISTA,81211,P O BOX 2027,7193954064,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,38.843672,-106.125283,CO-0490-1508,High,1-Yes,1-Yes,1-Yes,1-Yes,15,15,0,6,5,4,7,8,1.25,12.00
CHAFFEE JR.-SR. HIGH,Missouri,MISSOURI,CHAFFEE JR.-SR. HIGH,2900248,Scott County,29201,http://www.chaffeer2.org,517 W YOAKUM AVE,CHAFFEE,63740,517 W YOAKUM AVE,5738873226,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.183762,-89.664681,MO-100060-1050100060,High,1-Yes,1-Yes,1-Yes,1-Yes,269,179,42,62,34,41,141,128,24.10,11.16
CHAFFEY COMMUNITY DAY,California,CALIFORNIA,Chaffey Community Day,0607260,San Bernardino County,06071,http://www.cjuhsd.net,1802 East Seventh St.,Ontario,91764,1802 East Seventh St.,9099850966,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.088041,-117.613159,CA-3667652-3630845,High,1-Yes,1-Yes,1-Yes,1-Yes,20,20,1,7,6,6,18,2,2.20,9.09
CHAFFEY DISTRICT ONLINE HIGH,California,CALIFORNIA,Chaffey District Online High,0613110,San Bernardino County,06071,http://cjuhsd.net,1802 East 7th St.,Ontario,91764,1802 East 7th St.,9099850966,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.087600,-117.613800,CA-3667652-0126243,High,1-Yes,1-Yes,1-Yes,1-Yes,93,93,15,23,26,29,35,58,5.07,18.34
CHAFFEY HIGH,California,CALIFORNIA,Chaffey High,0600791,San Bernardino County,06071,http://www.cjuhsd.net,1245 North Euclid Ave.,Ontario,91762,1245 North Euclid Ave.,9099885560,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.079931,-117.652654,CA-3667652-3632205,High,1-Yes,1-Yes,1-Yes,1-Yes,3127,3127,773,820,784,750,1593,1532,133.75,23.38
CHAGRIN FALLS HIGH SCHOOL,Ohio,OHIO,Chagrin Falls High School,3902159,Cuyahoga County,39035,†,400 E Washington St,Chagrin Falls,44022,400 E Washington St,4402472583,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.427054,-81.380475,OH-045286-005751,High,1-Yes,1-Yes,1-Yes,1-Yes,575,575,135,115,166,159,281,294,38.40,14.97
CHALKER HIGH SCHOOL,Ohio,OHIO,Chalker High School,3903882,Trumbull County,39155,†,2482 State Route 534,Southington,44470,2482 State Route 534,3308987480,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.284101,-80.959959,OH-050237-005777,High,1-Yes,1-Yes,1-Yes,1-Yes,127,127,36,36,27,28,68,59,9.00,14.11
CHALLENGE ACADEMY,Texas,TEXAS,CHALLENGE ACADEMY,4807397,McLennan County,48309,http://mcca.wacoisd.org,2015 ALEXANDER AVE,WACO,76708,2015 ALEXANDER AVE,2547540803,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,31.568478,-97.166980,TX-161914-161914004,High,1-Yes,1-Yes,1-Yes,1-Yes,52,43,23,12,3,5,37,15,3.88,13.40
CHALLENGE EARLY COLLEGE H S,Texas,TEXAS,CHALLENGE EARLY COLLEGE H S,4809609,Harris County,48201,http://www.houstonisd.org,5601 W LOOP S,HOUSTON,77081,5601 W LOOP S,7136649712,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,29.721540,-95.457213,TX-101912-101912323,High,1-Yes,1-Yes,1-Yes,1-Yes,485,485,138,120,121,106,231,254,25.46,19.05
CHALLENGE PREPARATORY CHARTER SCHOOL,New York,NEW YORK,CHALLENGE PREPARATORY CHARTER SCHOOL,3606192,Queens County,36081,http://www.challengeprepcharter.org,710 HARTMAN LANE,FAR ROCKAWAY,11691,710 HARTMAN LANE,7183271352,1-Regular school,7-Independent Charter District,40.600225,-73.763886,NY-342700860990-342700860990,Other,1-Yes,1-Yes,1-Yes,1-Yes,1218,302,99,77,69,57,578,640,85.62,14.23
CHALLENGER EARLY COLLEGE HIGH,North Carolina,NORTH CAROLINA,Challenger Early College High,3702753,Catawba County,37035,http://challenger.catawbaschools.net/,2550 Hwy 70 SE,Hickory,28602,2550 Hwy 70 SE,8284852980,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.699500,-81.288100,NC-180-325,High,1-Yes,1-Yes,1-Yes,1-Yes,376,376,97,99,90,90,129,247,11.22,33.51
CHALLENGER HIGH SCHOOL,Washington,WASHINGTON,Challenger High School,5302200,Pierce County,53053,http://chs.bethelsd.org,18117 A Street South,Spanaway,98387,18117 A Street S,2538006800,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,47.092652,-122.430969,WA-27403-1510,High,1-Yes,1-Yes,1-Yes,1-Yes,318,273,28,49,77,119,130,184,20.00,15.90
CHALLENGEU OHIO COMMUNITY SCHOOL,OHIO,OHIO,ChallengeU Ohio Community School,3910866,Hamilton County,39061,http://www.challengeu.com,4030 Smith Rd Ste 200,Cincinnati,45209,4030 Smith Rd,8335650745,1-Regular school,7-Independent Charter District,39.151977,-84.444745,OH-020726-020726,High,1-Yes,1-Yes,1-Yes,1-Yes,286,286,32,71,79,104,109,177,3.35,85.37
CHALLIS JR/SR HIGH SCHOOL,Idaho,IDAHO,CHALLIS JR/SR HIGH SCHOOL,1600140,Custer County,16037,†,1110 BLUFF AVENUE,CHALLIS,83226,PO BOX 304,2088792255,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.508213,-114.225813,ID-181-0089,High,1-Yes,1-Yes,1-Yes,1-Yes,136,88,21,16,31,20,79,57,15.60,8.72
CHALMETTE HIGH SCHOOL,Louisiana,LOUISIANA,Chalmette High School,2201125,St. Bernard Parish,22087,†,1100 East Judge Perez Dr.,Chalmette,70043,1100 East Judge Perez Dr.,5043012600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,29.937759,-89.953694,LA-044-044006,High,1-Yes,1-Yes,1-Yes,1-Yes,2193,2193,527,545,551,570,1129,1064,148.68,14.75
CHAMBERLAIN HIGH SCHOOL,Florida,FLORIDA,CHAMBERLAIN HIGH SCHOOL,1200930,Hillsborough County,12057,†,9401 N BLVD,TAMPA,33612,9401 N BLVD,8139757677,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,28.034596,-82.466607,FL-29-0761,High,1-Yes,1-Yes,1-Yes,1-Yes,1183,1183,253,334,315,281,618,565,48.50,24.39
CHAMBERLAIN HIGH SCHOOL - 01,South Dakota,SOUTH DAKOTA,Chamberlain High School - 01,4600119,Brule County,46015,http://chs.chamberlain.k12.sd.us,1000 Sorensen Dr,Chamberlain,57325,1000 Sorenson Dr,6052344467,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.789476,-99.327311,SD-07001-01,High,1-Yes,1-Yes,1-Yes,1-Yes,243,243,62,65,72,44,112,131,22.85,10.63
CHAMBERS HIGH SCHOOL,Florida,FLORIDA,CHAMBERS HIGH SCHOOL,1207617,Miami-Dade County,12086,http://www.chambershigh.com,698 N HOMESTEAD BLVD,HOMESTEAD,33030,698 N HOMESTEAD BLVD,3059096307,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,25.474919,-80.467379,FL-13-7065,High,1-Yes,1-Yes,1-Yes,1-Yes,243,215,12,34,62,107,148,95,5.00,48.60
CHAMBERS HIGH SCHOOL,Nebraska,NEBRASKA,CHAMBERS HIGH SCHOOL,3100143,Holt County,31089,†,201 SOUTH A ST,CHAMBERS,68725,201 SOUTH A ST,4024825233,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.203379,-98.751062,NE-450137000-450137001,High,1-Yes,1-Yes,1-Yes,1-Yes,47,26,7,8,4,7,24,23,8.25,5.70
CHAMBERSBURG AREA CAREER MAGNET SCH,Pennsylvania,PENNSYLVANIA,Chambersburg Area Career Magnet Sch,4207449,Franklin County,42055,†,2459 Loop Road,Chambersburg,17202,2459 Loop Road,7172615656,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.897923,-77.680499,PA-112281302-8244,High,1-Yes,1-Yes,1-Yes,1-Yes,706,706,130,215,184,177,372,334,32.90,21.46
CHAMBERSBURG AREA SHS,Pennsylvania,PENNSYLVANIA,Chambersburg Area SHS,4202191,Franklin County,42055,http://www.casdonline.org,511 S 6th St,Chambersburg,17201,511 S 6th St,7172613328,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.929000,-77.652500,PA-112281302-2191,High,1-Yes,1-Yes,1-Yes,1-Yes,2319,2319,626,490,584,619,1206,1113,132.59,17.49
CHAMBLEE HIGH SCHOOL,Georgia,GEORGIA,Chamblee High School,1300692,DeKalb County,13089,†,3688 Chamblee Dunwoody Rd,Chamblee,30341,3688 Chamblee Dunwoody Rd,6786766902,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.898200,-84.306000,GA-644-5052,High,1-Yes,1-Yes,1-Yes,1-Yes,1867,1867,546,464,433,424,979,888,113.00,16.52
CHAMOIS HIGH,Missouri,MISSOURI,CHAMOIS HIGH,2900250,Osage County,29151,http://www.chamois.k12.mo.us,614 S POPLAR ST,CHAMOIS,65024,614 S POPLAR ST,5737635393,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.669590,-91.772071,MO-076081-1050076081,High,1-Yes,1-Yes,1-Yes,1-Yes,63,44,14,10,9,11,42,21,11.08,5.69
CHAMPAIGN CO DETENTION CENTER,ILLINOIS,ILLINOIS,Champaign Co Detention Center,1706576,Champaign County,17019,†,400 Art Bartell Rd,Urbana,61802,400 Art Bartell Rd,2173843780,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,40.110172,-88.183692,IL-09-010-1160-22-090101160223003,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
CHAMPION HIGH SCHOOL,Ohio,OHIO,Champion High School,3903844,Trumbull County,39155,†,5976 Mahoning Ave NW,Warren,44483,5976 Mahoning Ave NW,3308472305,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.315329,-80.850232,OH-050138-005819,High,1-Yes,1-Yes,1-Yes,1-Yes,328,328,87,101,65,75,161,167,23.00,14.26
CHAMPION HIGH SCHOOL,MASSACHUSETTS,MASSACHUSETTS,Champion High School,2502958,Plymouth County,25023,http://www.bpsma.org/,211 Crescent St,Brockton,02301,211 Crescent St,5088944377,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.080060,-71.012875,MA-0044-00440535,High,1-Yes,1-Yes,1-Yes,1-Yes,163,163,40,48,50,25,84,78,10.30,15.83
CHAMPLAIN VALLEY UNION HIGH SCHOOL,VERMONT,VERMONT,Champlain Valley Union High School,5000082,Chittenden County,50007,http://www.cvsdvt.org/cvuhs,396 CVU Road,Hinesburg,05461,396 CVU Road,8024827100,1-Regular school,2-Local school district that is a component of a supervisory union,44.344715,-73.109922,VT-U056-PS066,High,1-Yes,1-Yes,1-Yes,1-Yes,1251,1251,295,301,327,328,627,624,86.20,14.51
CHAMPLIN PARK HIGH SCHOOL,Minnesota,MINNESOTA,Champlin Park High School,2700021,Hennepin County,27053,http://www.ahschools.us/,6025 109TH AVE N,CHAMPLIN,55316,6025 109TH AVE N,7635066800,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.150190,-93.354789,MN-010011-010011192,High,1-Yes,1-Yes,1-Yes,1-Yes,2978,2978,742,745,705,786,1523,1455,153.65,19.38
CHAMPS - CHARTER HS OF ARTS-MULTIMEDIA & PERFORMING,CALIFORNIA,CALIFORNIA,CHAMPS - Charter HS of Arts-Multimedia & Performing,0610865,Los Angeles County,06037,http://champscharter.org,6842 Van Nuys Blvd.,Van Nuys,91405,6842 Van Nuys Blvd.,8189947614,1-Regular school,7-Independent Charter District,34.195120,-118.447520,CA-0108878-0108878,High,1-Yes,1-Yes,1-Yes,1-Yes,424,424,99,81,124,120,175,232,27.68,15.32
CHANA EDUC CENTER/ROCK RIVER,Illinois,ILLINOIS,Chana Educ Center/Rock River,1706042,Ogle County,17141,†,204 Main St,Chana,61015,204 Main St,8152342722,2-Special education school,9-Specialized public school district,41.981109,-89.221992,IL-47-071-8010-60-470718010606004,Other,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,8.00,0.00
CHANCELLOR HIGH,Virginia,VIRGINIA,Chancellor High,5102134,Spotsylvania County,51177,http://www.spotsylvania.k12.va.us/o/chancellorhs,6300 Harrison Rd,Fredericksburg,22407,6300 Harrison Rd,5407862606,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.272896,-77.555151,VA-088-0880381,High,1-Yes,1-Yes,1-Yes,1-Yes,1321,1321,344,332,325,320,698,623,84.34,15.66
CHANCERY HIGH CHARTER,Florida,FLORIDA,CHANCERY HIGH CHARTER,1203885,Orange County,12095,http://yourdiplomayourway.com,7001 S ORANGE BLOSSOM TRL,ORLANDO,32809,7001 S ORANGE BLOSSOM TRL,4078509791,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,28.464537,-81.395397,FL-48-0085,High,1-Yes,1-Yes,1-Yes,1-Yes,438,424,13,26,61,324,230,208,8.00,54.75
CHANDLER EARLY COLLEGE HIGH SCHOOL,ARIZONA,ARIZONA,Chandler Early College High School,0403873,Maricopa County,04013,http://www.cusd80.com,2626 E PECOS RD BLDG JAV,CHANDLER,85225,2626 E PECOS RD BLDG JAV,4802243060,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.295705,-111.795159,AZ-4242-1002502,High,1-Yes,1-Yes,1-Yes,1-Yes,80,80,8,14,29,29,36,44,3.50,22.86
CHANDLER HIGH SCHOOL,Arizona,ARIZONA,Chandler High School,0400123,Maricopa County,04013,http://www.cusd80.com/chs,350 N ARIZONA AVE,CHANDLER,85225,350 N ARIZONA AVE,4808127700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.308400,-111.842800,AZ-4242-5127,High,1-Yes,1-Yes,1-Yes,1-Yes,3179,3179,716,820,826,817,1661,1518,170.46,18.65
CHANDLER HS,Oklahoma,OKLAHOMA,CHANDLER HS,4000283,Lincoln County,40081,http://www.chandler.k12.ok.us/,901 South CHS Street,Chandler,74834,901 South CHS Street,4052581269,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.701525,-96.901520,OK-41-I001-41-I001-705,High,1-Yes,1-Yes,1-Yes,1-Yes,333,333,78,83,88,84,171,162,22.57,14.75
CHANDLER INNOVATION ACADEMY,INDIANA,INDIANA,Chandler Innovation Academy,1802784,Elkhart County,18039,†,419 S. 8th St.,Goshen,46526,419 S. 8th St.,5745338631,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,41.581300,-85.828500,IN-2315-1631,Other,1-Yes,1-Yes,1-Yes,1-Yes,357,304,24,48,94,138,189,168,9.50,37.58
CHANDLER LEARNING CENTER,ARIZONA,ARIZONA,Chandler Learning Center,0403869,Maricopa County,04013,†,1205 E FRYE RD,CHANDLER,85225,1205 E FRYE RD,4808126300,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,33.297897,-111.820549,AZ-4242-1002497,High,1-Yes,1-Yes,1-Yes,1-Yes,59,58,0,0,7,51,38,21,10.00,5.90
CHANDLER ONLINE ACADEMY,Arizona,ARIZONA,Chandler Online Academy,0403306,Maricopa County,04013,http://www.cusd80.com/chandleronline,1205 E FRYE RD BLDG B,CHANDLER,85225,500 W GALVESTON ST,4808126350,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.297336,-111.820733,AZ-4242-91282,Other,1-Yes,1-Yes,1-Yes,1-Yes,294,220,21,49,61,89,108,186,21.00,14.00
CHANDLER PARK ACADEMY  HIGH SCHOOL,Michigan,MICHIGAN,Chandler Park Academy  High School,2607800,Wayne County,26163,http://www.chandlerparkacademy.net,20254 KELLY RD,HARPER WOODS,48225,20254 KELLY RD,3134993010,1-Regular school,7-Independent Charter District,42.446137,-82.941180,MI-82923-09825,High,1-Yes,1-Yes,1-Yes,1-Yes,688,688,213,179,165,131,352,336,37.00,18.59
